tp,sl,nanpin,trades,win_rate,total_pips,max_dd,pf,avg_pips
150,150,25,233,70.39,32225.4,-9170.7,1.31,138.31
150,150,30,234,70.51,28638.0,-8719.8,1.28,122.38
150,120,30,252,63.89,20510.1,-8362.2,1.22,81.39
150,120,40,247,65.18,16848.3,-7933.5,1.21,68.21
150,150,20,238,67.23,15528.3,-10169.7,1.13,65.24
120,100,15,328,61.89,14445.7,-13904.5,1.13,44.04
120,150,25,272,73.53,12561.3,-15953.4,1.12,46.18
100,120,40,333,75.38,12405.1,-10117.9,1.16,37.25
150,80,30,311,47.59,11935.5,-6755.7,1.18,38.38
120,120,15,309,66.02,11359.8,-15468.6,1.09,36.76
80,80,15,483,66.05,10737.6,-11845.6,1.11,22.23
120,80,15,360,54.44,10174.9,-13856.2,1.1,28.26
100,100,15,370,67.03,9792.9,-14031.7,1.09,26.47
150,120,25,253,61.26,9594.9,-11106.3,1.09,37.92
70,80,15,530,69.62,9494.7,-10936.0,1.1,17.91
80,70,15,517,61.7,8872.6,-10736.4,1.1,17.16
80,70,20,510,60.78,8456.6,-10362.4,1.1,16.58
80,120,20,414,76.33,8400.3,-19127.0,1.08,20.29
80,100,15,449,71.94,8345.0,-15621.4,1.07,18.59
80,100,20,443,72.01,8221.7,-17271.8,1.08,18.56
150,150,15,241,64.73,8140.8,-17405.7,1.06,33.78
100,80,15,402,60.2,8118.0,-12025.8,1.08,20.19
80,120,25,396,77.53,8052.7,-12979.9,1.08,20.34
150,120,15,262,59.16,7982.1,-15222.6,1.07,30.47
150,100,15,279,54.48,7814.7,-17164.9,1.07,28.01
50,80,15,674,77.15,7621.0,-11822.3,1.08,11.31
80,100,25,421,73.16,7334.8,-11806.2,1.08,17.42
150,100,25,268,55.6,6969.1,-10411.9,1.07,26.0
120,150,20,276,71.74,6957.0,-13683.6,1.06,25.21
150,50,20,433,31.87,6691.4,-8539.1,1.13,15.45
70,70,15,568,65.14,6676.7,-10969.0,1.07,11.75
100,120,15,348,70.98,6642.0,-17310.1,1.06,19.09
80,150,20,387,80.36,6596.9,-15872.0,1.06,17.05
120,150,30,270,73.33,6525.9,-18614.7,1.06,24.17
150,50,15,429,32.87,6437.3,-10408.6,1.1,15.01
70,70,20,561,64.35,6084.1,-11562.7,1.08,10.85
100,50,20,554,41.52,6001.7,-6071.2,1.11,10.83
120,50,25,498,36.35,5865.5,-4975.3,1.14,11.78
