datetime,open,high,low,close,volume
2015-01-02 00:00:00,119.737,120.415,119.693,120.272,2780
2015-01-02 04:00:00,120.272,120.47,120.254,120.411,1932
2015-01-02 08:00:00,120.411,120.504,120.303,120.398,3996
2015-01-02 12:00:00,120.398,120.653,120.37,120.599,3365
2015-01-02 16:00:00,120.599,120.737,119.813,120.232,7947
2015-01-02 20:00:00,120.232,120.532,120.199,120.445,2933
2015-01-05 00:00:00,120.445,120.596,119.983,120.389,6507
2015-01-05 04:00:00,120.389,120.642,120.231,120.397,4533
2015-01-05 08:00:00,120.397,120.508,120.128,120.205,5976
2015-01-05 12:00:00,120.205,120.424,119.754,119.814,7118
2015-01-05 16:00:00,119.814,119.833,119.371,119.607,10227
2015-01-05 20:00:00,119.607,119.791,119.484,119.629,4344
2015-01-06 00:00:00,119.629,119.629,119.157,119.438,4714
2015-01-06 04:00:00,119.438,119.439,118.877,118.951,5170
2015-01-06 08:00:00,118.951,119.234,118.652,118.834,8244
2015-01-06 12:00:00,118.834,119.388,118.741,118.992,7540
2015-01-06 16:00:00,118.992,119.193,118.038,118.472,12462
2015-01-06 20:00:00,118.472,118.811,118.074,118.37,7383
2015-01-07 00:00:00,118.37,119.0,118.37,118.997,5119
2015-01-07 04:00:00,118.997,119.167,118.798,118.866,4029
2015-01-07 08:00:00,118.866,119.246,118.695,118.823,7614
2015-01-07 12:00:00,118.823,119.541,118.753,119.403,9258
2015-01-07 16:00:00,119.403,119.637,119.284,119.485,10700
2015-01-07 20:00:00,119.485,119.511,118.835,119.251,6794
2015-01-08 00:00:00,119.251,119.709,119.15,119.683,4847
2015-01-08 04:00:00,119.683,119.813,119.594,119.699,4116
2015-01-08 08:00:00,119.699,119.953,119.665,119.75,6626
2015-01-08 12:00:00,119.75,119.895,119.423,119.447,6789
2015-01-08 16:00:00,119.447,119.726,119.371,119.519,8514
2015-01-08 20:00:00,119.519,119.756,119.489,119.648,4074
2015-01-09 00:00:00,119.648,119.866,119.466,119.566,4455
2015-01-09 04:00:00,119.566,119.627,119.157,119.326,4238
2015-01-09 08:00:00,119.326,119.486,119.282,119.327,5767
2015-01-09 12:00:00,119.327,119.762,118.783,119.498,8828
2015-01-09 16:00:00,119.498,119.653,118.419,118.562,13123
2015-01-09 20:00:00,118.562,118.653,118.449,118.456,4683
2015-01-12 00:00:00,118.456,118.456,118.115,118.376,3155
2015-01-12 04:00:00,118.376,118.495,118.096,118.119,3278
2015-01-12 08:00:00,118.119,119.148,118.105,119.132,7340
2015-01-12 12:00:00,119.132,119.317,118.769,118.851,8082
2015-01-12 16:00:00,118.851,118.912,118.175,118.294,11765
2015-01-12 20:00:00,118.294,118.379,118.115,118.333,4528
2015-01-13 00:00:00,118.333,118.477,117.729,117.849,6320
2015-01-13 04:00:00,117.849,118.694,117.785,118.654,6241
2015-01-13 08:00:00,118.654,118.846,118.206,118.53,8918
2015-01-13 12:00:00,118.53,118.683,118.349,118.448,9320
2015-01-13 16:00:00,118.448,118.762,117.841,117.954,12792
2015-01-13 20:00:00,117.954,118.098,117.526,117.914,9697
2015-01-14 00:00:00,117.914,117.959,117.48,117.552,6984
2015-01-14 04:00:00,117.552,117.641,116.989,117.119,7153
2015-01-14 08:00:00,117.119,117.235,116.525,117.007,12149
2015-01-14 12:00:00,117.007,117.159,116.066,116.312,11313
2015-01-14 16:00:00,116.312,117.09,116.201,117.029,13458
2015-01-14 20:00:00,117.029,117.432,116.861,117.314,6831
2015-01-15 00:00:00,117.314,117.76,117.116,117.693,5727
2015-01-15 04:00:00,117.693,117.834,117.562,117.754,4741
2015-01-15 08:00:00,117.754,117.935,116.607,116.965,11525
2015-01-15 12:00:00,116.965,117.026,116.234,116.914,17869
2015-01-15 16:00:00,116.914,117.246,116.473,116.707,16073
2015-01-15 20:00:00,116.707,116.717,116.14,116.159,8074
2015-01-16 00:00:00,116.159,116.57,115.887,116.167,8283
2015-01-16 04:00:00,116.167,116.479,115.849,116.429,7151
2015-01-16 08:00:00,116.429,116.827,116.309,116.413,9456
2015-01-16 12:00:00,116.413,116.84,116.312,116.667,9792
2015-01-16 16:00:00,116.667,117.755,116.632,117.546,15246
2015-01-16 20:00:00,117.546,117.683,117.351,117.569,4983
2015-01-19 00:00:00,117.569,117.663,116.958,117.15,5073
2015-01-19 04:00:00,117.15,117.283,116.918,117.1,4373
2015-01-19 08:00:00,117.1,117.378,117.015,117.222,6158
2015-01-19 12:00:00,117.222,117.464,117.157,117.455,5663
2015-01-19 16:00:00,117.455,117.579,117.372,117.512,4689
2015-01-19 20:00:00,117.512,117.778,117.485,117.552,2483
2015-01-20 00:00:00,117.552,118.235,117.551,118.096,5211
2015-01-20 04:00:00,118.096,118.338,118.04,118.285,4593
2015-01-20 08:00:00,118.285,118.52,117.975,118.28,8350
2015-01-20 12:00:00,118.28,118.768,118.25,118.499,8711
2015-01-20 16:00:00,118.499,118.72,118.243,118.689,12466
2015-01-20 20:00:00,118.689,118.862,118.638,118.797,5024
2015-01-21 00:00:00,118.797,118.814,118.387,118.432,4390
2015-01-21 04:00:00,118.432,118.528,117.665,117.842,7181
2015-01-21 08:00:00,117.842,117.902,117.29,117.699,8370
2015-01-21 12:00:00,117.699,117.861,117.221,117.258,8741
2015-01-21 16:00:00,117.258,118.163,117.174,117.997,13456
2015-01-21 20:00:00,117.997,118.046,117.734,117.949,4052
2015-01-22 00:00:00,117.949,118.152,117.793,118.028,4091
2015-01-22 04:00:00,118.028,118.331,117.998,118.194,3753
2015-01-22 08:00:00,118.194,118.311,117.642,117.67,6136
2015-01-22 12:00:00,117.67,118.113,117.442,117.725,9243
2015-01-22 16:00:00,117.725,118.149,117.248,118.121,12806
2015-01-22 20:00:00,118.121,118.659,118.117,118.478,5074
2015-01-23 00:00:00,118.478,118.813,118.336,118.513,5250
