tp,sl,nanpin,trades,win_rate,total_pips,max_dd,pf,avg_pips
70,80,15,962,72.04,15545.6,-13498.1,1.07,16.16
70,80,10,990,69.6,8539.1,-16374.3,1.03,8.63
70,20,10,2254,28.88,8200.0,-4300.7,1.09,3.64
70,70,20,976,70.49,8183.2,-10619.8,1.04,8.38
80,70,15,896,65.18,7921.7,-14525.3,1.03,8.84
50,70,20,1274,77.79,6794.0,-17030.1,1.03,5.33
70,70,25,966,71.22,6647.7,-11064.6,1.04,6.88
80,20,10,2096,26.0,6389.3,-4012.2,1.07,3.05
70,70,15,1009,68.78,6078.2,-13088.7,1.03,6.02
50,20,10,2667,35.96,5177.2,-3899.0,1.05,1.94
70,20,15,2508,25.72,4448.7,-3066.9,1.08,1.77
80,30,20,1557,35.39,4383.4,-5380.7,1.06,2.82
30,20,10,3644,49.7,4370.7,-4667.3,1.04,1.2
70,20,8,2194,29.63,4249.9,-5887.2,1.04,1.94
80,20,8,2034,26.84,3540.7,-6195.9,1.03,1.74
70,30,20,1702,38.72,3508.4,-5260.0,1.04,2.06
40,20,10,3017,41.4,3055.5,-5188.3,1.03,1.01
80,20,15,2310,22.9,3012.4,-3063.4,1.05,1.3
70,70,30,937,70.76,2737.0,-12038.0,1.02,2.92
50,70,30,1223,78.58,2471.2,-12311.1,1.02,2.02
40,20,8,2966,43.22,2415.0,-9434.1,1.02,0.81
70,20,30,2693,23.39,2032.1,-2335.5,1.05,0.75
70,20,25,2693,23.39,2032.1,-2335.5,1.05,0.75
70,20,20,2693,23.39,2032.1,-2335.5,1.05,0.75
70,30,30,1993,31.31,2012.1,-1752.5,1.05,1.01
80,80,15,853,67.29,1754.7,-13337.8,1.01,2.06
80,20,25,2504,20.93,1568.8,-2388.8,1.04,0.63
80,20,20,2504,20.93,1568.8,-2388.8,1.04,0.63
80,20,30,2504,20.93,1568.8,-2388.8,1.04,0.63
70,30,15,1614,41.57,1459.2,-7602.9,1.01,0.9
70,30,25,1866,33.92,1453.2,-2957.6,1.03,0.78
80,30,30,1829,28.21,1341.3,-2099.6,1.03,0.73
80,30,25,1712,30.96,1244.8,-3103.5,1.02,0.73
30,20,8,3566,51.01,1119.3,-6668.7,1.01,0.31
30,20,20,4125,41.14,1112.5,-1905.4,1.02,0.27
30,20,25,4125,41.14,1112.5,-1905.4,1.02,0.27
30,20,30,4125,41.14,1112.5,-1905.4,1.02,0.27
40,30,20,2336,52.1,1025.0,-5809.1,1.01,0.44
50,20,25,3143,29.4,877.1,-2640.4,1.02,0.28
50,20,30,3143,29.4,877.1,-2640.4,1.02,0.28
50,20,20,3143,29.4,877.1,-2640.4,1.02,0.28
20,70,20,2953,92.25,874.5,-18569.1,1.01,0.3
80,70,20,859,66.01,856.8,-15798.8,1.0,1.0
30,30,30,3177,50.93,816.9,-1894.8,1.02,0.26
20,70,30,2718,91.91,813.9,-9966.8,1.01,0.3
50,30,30,2362,38.23,671.4,-2525.3,1.02,0.28
40,70,20,1539,82.07,650.7,-15359.0,1.0,0.42
40,30,30,2655,43.62,613.5,-2100.1,1.01,0.23
70,50,25,1146,57.77,474.5,-14539.4,1.0,0.41
50,20,15,2891,32.17,375.2,-3657.5,1.01,0.13
20,30,30,4038,60.77,348.6,-2039.9,1.01,0.09
40,20,30,3509,34.0,347.3,-2682.4,1.01,0.1
40,20,20,3509,34.0,347.3,-2682.4,1.01,0.1
40,20,25,3509,34.0,347.3,-2682.4,1.01,0.1
70,80,8,986,67.95,346.2,-17181.1,1.0,0.35
20,30,25,3901,64.32,284.6,-2687.7,1.0,0.07
50,70,25,1257,78.2,244.6,-17162.5,1.0,0.19
20,20,30,5177,50.71,-93.1,-2272.3,1.0,-0.02
20,20,25,5177,50.71,-93.1,-2272.3,1.0,-0.02
20,20,20,5177,50.71,-93.1,-2272.3,1.0,-0.02
40,30,10,2225,58.29,-348.2,-11405.6,1.0,-0.16
40,70,30,1469,82.57,-387.0,-12462.3,1.0,-0.26
50,70,15,1299,75.83,-402.7,-19406.3,1.0,-0.31
40,20,15,3272,37.26,-466.9,-4044.5,0.99,-0.14
80,40,30,1312,40.78,-697.9,-3402.7,0.99,-0.53
80,50,20,1009,55.5,-897.3,-7860.4,0.99,-0.89
50,20,8,2609,36.99,-898.8,-8823.5,0.99,-0.34
50,30,25,2234,41.09,-1018.8,-4127.4,0.98,-0.46
80,50,25,1031,53.64,-1026.6,-11408.3,0.99,-1.0
